(0, 0, 79)
(0, 22, 0)
(0, 0, 15)
(0, 234, 0)
(0, 0, 126)
(0, 19, 0)
(0, 0, 171)
(0, 16, 0)
(0, 0, 191)
(0, 7, 0)
(0, 0, 106)
(0, 248, 0)
(0, 0, 62)
(0, 28, 0)
(0, 0, 167)
(0, 195, 0)
(0, 0, 72)
(0, 204, 0)
(0, 0, 203)
(0, 106, 0)
(0, 0, 127)
(0, 89, 0)
(0, 0, 107)
(0, 3, 0)
(0, 0, 124)
(0, 82, 0)
(0, 0, 255)
(0, 24, 0)
(0, 0, 4)
(0, 218, 0)
(0, 0, 35)
(0, 151, 0)
(0, 0, 237)
(0, 106, 0)
(0, 0, 22)
(0, 3, 0)
(0, 0, 116)
(0, 32, 0)
(0, 0, 239)
(0, 138, 0)
(0, 183, 0)
(143, 0, 0)
(0, 202, 0)
(6, 0, 0)
(0, 41, 0)
(4, 0, 0)
(0, 7, 0)
(149, 0, 0)
(0, 242, 0)
(166, 0, 0)
(0, 28, 0)
(197, 0, 0)
(0, 210, 0)
(252, 0, 0)
(0, 203, 0)
(238, 0, 0)
(0, 188, 0)
(96, 0, 0)
(0, 98, 0)
(170, 0, 0)
(0, 129, 0)
(135, 0, 0)
(0, 137, 0)
(255, 0, 0)
(0, 7, 0)
(13, 0, 0)
(0, 111, 0)
(16, 0, 0)
(0, 78, 0)
(150, 0, 0)
(0, 213, 0)
(199, 0, 0)
(0, 154, 0)
(43, 0, 0)
(0, 31, 0)
(55, 0, 0)
(0, 223, 0)
(90, 0, 0)
(0, 163, 0)
(135, 0, 0)
(0, 0, 107)
(0, 242, 0)
(0, 0, 33)
(0, 17, 0)
(0, 0, 145)
(0, 135, 0)
(0, 0, 27)
(0, 4, 0)
(0, 0, 251)
(0, 12, 0)
(0, 0, 143)
(0, 92, 0)
(0, 0, 248)
(0, 119, 0)
(0, 0, 224)
(0, 189, 0)
(0, 0, 49)
(0, 130, 0)
(0, 0, 101)
(0, 215, 0)
(0, 0, 60)
(0, 192, 0)
(0, 0, 243)
(0, 6, 0)
(0, 0, 215)
(0, 123, 0)
(0, 0, 121)
(0, 27, 0)
(0, 0, 122)
(0, 174, 0)
(0, 0, 97)
(0, 227, 0)
(0, 0, 116)
(0, 34, 0)
(0, 0, 216)
(0, 253, 0)
(0, 0, 75)
(0, 195, 0)
(0, 0, 201)
(0, 196, 0)
(0, 49, 0)
(129, 0, 0)
(0, 108, 0)
(109, 0, 0)
(0, 119, 0)
(99, 0, 0)
(0, 91, 0)
(17, 0, 0)
(0, 199, 0)
(137, 0, 0)
(0, 130, 0)
(164, 0, 0)
(0, 73, 0)
(211, 0, 0)
(0, 5, 0)
(155, 0, 0)
(0, 177, 0)
(115, 0, 0)
(0, 181, 0)
(95, 0, 0)
(0, 145, 0)
(188, 0, 0)
(0, 232, 0)
(26, 0, 0)
(0, 150, 0)
(210, 0, 0)
(0, 13, 0)
(221, 0, 0)
(0, 186, 0)
(184, 0, 0)
(0, 99, 0)
(199, 0, 0)
(0, 227, 0)
(175, 0, 0)
(0, 204, 0)
(115, 0, 0)
(0, 50, 0)
(237, 0, 0)
(0, 235, 0)
(148, 0, 0)
(0, 0, 195)
(0, 175, 0)
(0, 0, 105)
(0, 209, 0)
(0, 0, 18)
(0, 98, 0)
(0, 0, 178)
(0, 50, 0)
(0, 0, 231)
(0, 83, 0)
(0, 0, 3)
(0, 62, 0)
(0, 0, 116)
(0, 113, 0)
(0, 0, 59)
(0, 106, 0)
(0, 0, 180)
(0, 164, 0)
(0, 0, 237)
(0, 1, 0)
(0, 0, 198)
(0, 10, 0)
(0, 0, 36)
(0, 151, 0)
